timestamp,errXmm,errYmm,errZmm,MarkerPresent,Touched,Heading3,Heading4,Heading5
0.00214598,10,-25,345,0,0,0,0,0
0.0157643,10,-25,345,0,0,0,0,0
0.0293058,10,-25,345,0,0,0,0,0
0.0424946,10,-25,345,0,0,0,0,0
0.0559591,10,-25,345,1,0,0,0,0
0.0696902,9,-25,344,0,0,0,0,0
0.0840486,9,-25,344,0,0,0,0,0
0.0970715,9,-25,344,0,0,0,0,0
0.1099,9,-25,344,0,0,0,0,0
0.1232,9,-25,344,1,0,0,0,0
0.136442,-25,-29,347,1,0,0,0,0
0.150929,-58,-33,350,1,0,0,0,0
0.164618,-87,-37,351,1,0,0,0,0
0.177639,-112,-40,354,1,0,0,0,0
0.191267,-133,-42,355,1,0,0,0,0
0.20453,-150,-44,356,1,0,0,0,0
0.217492,-164,-46,359,0,0,0,0,0
0.228631,-164,-46,359,0,0,0,0,0
0.240676,-164,-46,359,0,0,0,0,0
0.252445,-164,-46,359,1,0,0,0,0
0.265257,-176,-45,357,1,0,0,0,0
0.28062,-185,-44,356,1,0,0,0,0
0.296157,-192,-44,355,1,0,0,0,0
0.309177,-197,-43,355,1,0,0,0,0
0.32245,-200,-42,354,1,0,0,0,0
0.33554,-201,-42,354,1,0,0,0,0
0.348448,-200,-41,352,1,0,0,0,0
0.363799,-200,-41,352,1,0,0,0,0
0.376928,-200,-40,353,1,0,0,0,0
0.390092,-198,-40,352,1,0,0,0,0
0.403015,-196,-40,352,1,0,0,0,0
0.415673,-194,-40,352,1,0,0,0,0
0.428693,-191,-39,350,1,0,0,0,0
0.44182,-189,-39,350,1,0,0,0,0
0.455985,-187,-40,352,1,0,0,0,0
0.468979,-185,-40,353,1,0,0,0,0
0.481699,-182,-40,353,1,0,0,0,0
0.494578,-181,-41,355,1,0,0,0,0
0.507629,-178,-41,356,1,0,0,0,0
0.519765,-175,-41,355,1,0,0,0,0
0.532278,-172,-42,356,1,0,0,0,0
0.544541,-169,-42,356,1,0,0,0,0
0.556883,-165,-42,356,1,0,0,0,0
0.568781,-161,-42,357,0,0,0,0,0
0.580361,-161,-42,357,1,0,0,0,0
0.592415,-156,-42,357,1,0,0,0,0
0.604346,-151,-43,358,1,0,0,0,0
0.616671,-146,-43,359,1,0,0,0,0
0.62943,-142,-43,360,0,0,0,0,0
0.641299,-142,-43,360,1,0,0,0,0
0.653654,-137,-43,362,1,0,0,0,0
0.666363,-131,-44,363,1,0,0,0,0
0.678649,-126,-44,363,1,0,0,0,0
0.691021,-122,-44,364,0,0,0,0,0
0.703389,-122,-44,364,1,0,0,0,0
0.715146,-117,-45,367,1,0,0,0,0
0.72788,-112,-46,367,0,0,0,0,0
0.739817,-112,-46,367,1,0,0,0,0
0.754507,-107,-47,369,1,0,0,0,0
0.766581,-102,-48,368,1,0,0,0,0
0.778797,-97,-49,369,0,0,0,0,0
0.790676,-97,-49,369,1,0,0,0,0
0.802913,-92,-50,370,1,0,0,0,0
0.815182,-87,-50,370,1,0,0,0,0
0.827485,-83,-51,372,1,0,0,0,0
0.839678,-79,-51,371,1,0,0,0,0
0.851891,-75,-52,371,1,0,0,0,0
0.864648,-71,-52,370,1,0,0,0,0
0.877109,-68,-52,369,1,0,0,0,0
0.889817,-64,-51,367,1,0,0,0,0
0.901855,-61,-51,368,1,0,0,0,0
0.914,-58,-51,367,1,0,0,0,0
0.926118,-56,-51,367,1,0,0,0,0
0.938536,-53,-51,368,1,0,0,0,0
0.950828,-51,-50,368,1,0,0,0,0
0.963042,-48,-50,367,1,0,0,0,0
0.975559,-46,-49,365,1,0,0,0,0
0.98936,-43,-48,366,1,0,0,0,0
1.00166,-41,-48,367,1,0,0,0,0
1.01408,-38,-48,367,1,0,0,0,0
1.02692,-35,-47,366,1,0,0,0,0
1.03964,-33,-46,367,1,0,0,0,0
1.05263,-31,-46,366,1,0,0,0,0
1.06609,-28,-45,367,1,0,0,0,0
1.07882,-26,-45,367,1,0,0,0,0
1.09131,-24,-44,367,1,0,0,0,0
1.10409,-22,-44,366,1,0,0,0,0
1.11698,-20,-43,366,1,0,0,0,0
1.12997,-17,-42,366,1,0,0,0,0
1.14307,-15,-41,364,1,0,0,0,0
1.15709,-13,-40,363,1,0,0,0,0
1.17024,-11,-39,363,1,0,0,0,0
1.1832,-10,-38,363,1,0,0,0,0
1.19623,-8,-37,363,1,0,0,0,0
1.21072,-6,-36,362,1,0,0,0,0
1.22427,-5,-35,362,1,0,0,0,0
1.23877,-4,-34,363,1,0,0,0,0
1.25181,-2,-33,363,1,0,0,0,0
1.26511,-1,-32,363,1,0,0,0,0
1.27837,0,-31,363,1,0,0,0,0
1.29179,0,-30,364,1,0,0,0,0
1.30515,1,-29,361,1,0,0,0,0
1.31819,2,-28,360,1,0,0,0,0
1.33171,3,-27,360,1,0,0,0,0
1.34476,4,-27,359,1,0,0,0,0
1.35842,4,-26,359,1,0,0,0,0
1.37173,5,-26,358,1,0,0,0,0
1.38475,6,-26,359,1,0,0,0,0
1.39841,7,-26,359,1,0,0,0,0
1.41171,8,-26,358,1,0,0,0,0
1.42545,8,-26,358,1,0,0,0,0
1.43903,9,-26,357,1,0,0,0,0
1.45213,9,-26,358,1,0,0,0,0
1.4656,10,-26,358,1,0,0,0,0
1.47879,11,-26,357,1,0,0,0,0
1.49219,12,-26,357,1,0,0,0,0
1.50553,13,-26,356,1,0,0,0,0
1.51857,13,-26,355,1,0,0,0,0
1.53188,14,-26,354,1,0,0,0,0
1.54503,15,-26,354,1,0,0,0,0
1.55855,16,-26,355,1,0,0,0,0
1.5716,18,-26,355,1,0,0,0,0
1.58456,19,-26,356,1,0,0,0,0
1.59809,20,-25,354,1,0,0,0,0
1.61159,21,-25,354,1,0,0,0,0
1.62527,23,-24,354,1,0,0,0,0
1.63856,24,-24,354,1,0,0,0,0
1.65163,26,-24,356,1,0,0,0,0
1.66481,27,-24,356,1,0,0,0,0
1.67819,29,-23,354,1,0,0,0,0
1.69183,30,-23,354,1,0,0,0,0
1.70518,32,-23,356,1,0,0,0,0
1.72038,33,-22,356,1,0,0,0,0
1.73632,34,-22,356,1,0,0,0,0
1.74945,36,-22,355,1,0,0,0,0
1.76269,37,-21,354,1,0,0,0,0
1.77647,38,-21,354,1,0,0,0,0
1.79015,39,-21,354,1,0,0,0,0
1.80385,40,-20,354,1,0,0,0,0
1.81741,40,-20,352,1,0,0,0,0
1.83089,41,-20,352,1,0,0,0,0
1.84574,42,-19,350,1,0,0,0,0
1.85963,43,-19,351,1,0,0,0,0
