timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00109075,205,41,598,0,E1A0472B1945C1588X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0137173,205,41,598,0,E1A0472B1945C1588X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0271314,204,41,598,0,E1A0473B1945C1589X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0391998,204,41,598,0,E1A0475B1945C1589X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0516405,204,41,598,0,E1A0476B1945C1590X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0643827,204,41,598,0,E1A0478B1945C1590X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0764713,203,41,598,0,E1A0479B1945C1591X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0886838,203,41,598,0,E1A0477B1945C1592X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.101566,203,41,598,0,E1A0477B1945C1593X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.11363,202,41,594,0,E1A0476B1945C1594X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.12785,-192,104,599,0,E1A0476B0192C1829X,TE1A7B0C2D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.141033,-196,106,611,0,E1A0476B0193C1828X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.153482,-199,107,618,0,E1A0476B0192C1827X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.166143,-199,107,618,0,E1A0476B0191C1827X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.178654,-198,107,616,0,E1A0476B0191C1826X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.191041,-198,107,615,0,E1A0476B0190C1826X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.202574,-198,107,615,0,E1A0476B0190C1826X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.21446,-204,113,608,0,E1A0476B0118C1833X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.226489,-207,115,595,0,E1A0476B0063C1832X,TE1A7B8C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.237916,-211,116,590,0,E1A0476B0036C1825X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.250282,-216,116,590,0,E1A0476B0017C1816X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.262256,-219,117,588,0,E1A0476B0012C1813X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.274477,-223,118,588,0,E1A0476B0014C1811X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.286888,-226,119,589,0,E1A0476B0017C1808X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.299358,-227,119,587,0,E1A0476B0019C1806X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.311392,-229,119,587,0,E1A0476B0022C1803X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.324115,-230,118,585,0,E1A0476B0027C1798X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.336585,-232,117,585,0,E1A0476B0032C1793X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.349109,-233,117,586,0,E1A0476B0036C1789X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.361518,-234,116,585,0,E1A0476B0040C1785X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.373428,-235,115,587,0,E1A0476B0044C1780X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.407827,-235,114,586,0,E1A0476B0048C1776X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.420245,-235,113,585,0,E1A0476B0052C1773X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.432557,-235,112,584,0,E1A0476B0055C1770X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.44505,-235,111,584,0,E1A0476B0057C1768X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.457487,-235,111,583,0,E1A0476B0059C1766X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.469899,-236,111,587,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.482138,-237,111,589,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.49454,-236,111,588,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.506544,-237,111,590,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.519181,-236,111,589,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.531525,-235,111,589,0,E1A0476B0060C1765X,TE1A7B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
