timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00178676,52,-21,552,0,E1A1963B1985C1984X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.01721,51,-21,539,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.0317275,51,-21,541,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.0466143,51,-21,543,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.0624777,52,-21,549,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.0752083,52,-21,552,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.0902455,51,-22,550,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.105307,50,-22,552,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.118191,48,-22,548,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.131204,42,-13,546,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.144017,37,-5,545,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.158487,33,1,546,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.172669,30,7,546,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.185064,27,12,548,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.197884,25,16,547,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.210991,23,19,547,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.223672,22,22,549,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.236521,21,24,549,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.249267,20,26,549,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
0.262301,19,27,548,0,E1A1967B1985C1987X,TE1A0B0C0D059X,1,1,1,1,1.4,1.2,0.8,0.8,0.0,0.0
