timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00101963,3,-2,377,0,E1A1896B1945C1882X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0126058,3,-2,377,0,E1A1896B1945C1882X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0233778,3,-2,377,0,E1A1896B1945C1882X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0344722,3,-3,380,0,E1A1896B1945C1881X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0459916,3,-3,380,0,E1A1896B1945C1881X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0568168,3,-3,379,0,E1A1896B1945C1880X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0691719,3,-3,381,0,E1A1897B1945C1879X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.100851,-140,-65,324,0,E1A1897B0881C0943X,TE1A1B0C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.112817,-141,-66,326,0,E1A1897B0884C0941X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.124708,-139,-65,322,0,E1A1897B0883C0942X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.135478,-137,-65,319,0,E1A1897B0886C0938X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.146895,-137,-64,317,0,E1A1897B0881C0944X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.157444,-140,-63,318,0,E1A1897B0870C0955X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.169824,-142,-64,315,0,E1A1897B0869C0955X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.180475,-145,-65,316,0,E1A1897B0870C0955X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.192737,-147,-66,315,0,E1A1897B0871C0954X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.204674,-151,-68,317,0,E1A1897B0873C0952X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.215614,-154,-70,319,0,E1A1897B0876C0949X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.226356,-156,-72,320,0,E1A1897B0879C0946X,TE1A1B5C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
