timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00116118,7,-7,416,0,E1A1885B1892C1651X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0131987,6,-7,411,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0254736,6,-7,418,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.038352,6,-7,418,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0503603,6,-7,416,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0637614,6,-7,415,0,E1A1891B1892C1654X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0758386,6,-7,414,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.0903915,6,-7,414,0,E1A1891B1892C1655X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.103594,6,-7,413,0,E1A1892B1892C1656X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.115121,-136,-52,417,0,E1A1892B1169C1119X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.126972,-138,-53,423,0,E1A1892B1168C1120X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.138751,-138,-53,423,0,E1A1892B1163C1118X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.150501,-138,-53,423,0,E1A1892B1158C1115X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.162019,-139,-52,423,0,E1A1892B1143C1114X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.174616,-141,-51,421,0,E1A1892B1125C1109X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.186402,-143,-51,420,0,E1A1892B1106C1100X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.198345,-145,-51,419,0,E1A1892B1089C1091X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.222905,-146,-51,418,0,E1A1892B1077C1083X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.24258,-148,-52,417,0,E1A1892B1065C1074X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.254455,-149,-52,418,0,E1A1892B1054C1066X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.266414,-151,-52,418,0,E1A1892B1043C1059X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.27813,-152,-53,419,0,E1A1892B1034C1053X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.290804,-153,-53,419,0,E1A1892B1025C1047X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.302832,-153,-53,419,0,E1A1892B1017C1042X,TE1A1B4C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.322566,-155,-53,420,0,E1A1892B1007C1038X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.355585,-156,-52,420,0,E1A1892B0994C1035X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.367492,-157,-52,421,0,E1A1892B0982C1032X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.391221,-159,-51,420,0,E1A1892B0967C1029X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.403342,-160,-50,419,0,E1A1892B0954C1026X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.414764,-160,-49,417,0,E1A1892B0940C1023X,TE1A1B5C4D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.42629,-162,-49,417,0,E1A1892B0927C1019X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.438416,-162,-48,415,0,E1A1892B0914C1016X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.449917,-163,-48,415,0,E1A1892B0905C1013X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.470411,-163,-48,415,0,E1A1892B0897C1010X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.482033,-164,-47,415,0,E1A1892B0889C1007X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.493476,-164,-47,415,0,E1A1892B0882C1004X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
0.504462,-165,-47,417,0,E1A1892B0876C1001X,TE1A1B5C5D000X,1,1,1,1,1.4,1.4,1.0,1.0,0.0,0.0
