timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00111609,-9,1,411,0,E1A1926B1827C1701X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0151648,-9,1,411,0,E1A1926B1827C1701X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0278784,-10,1,398,0,E1A1926B1825C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0401301,-10,1,398,0,E1A1926B1825C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0542525,-10,1,398,0,E1A1926B1825C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0665999,-10,1,398,0,E1A1926B1825C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0790926,-9,0,401,0,E1A1926B1827C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.0911583,-9,1,400,0,E1A1926B1827C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.103326,90,105,384,0,E1A0729B1725C1697X,TE1A1B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.116227,92,108,391,0,E1A0725B1724C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.129036,91,106,384,0,E1A0713B1721C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.141062,89,104,377,0,E1A0701B1720C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.153157,93,107,379,0,E1A0658B1714C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.165263,94,109,379,0,E1A0628B1709C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.178648,96,110,379,0,E1A0605B1707C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.190293,97,111,381,0,E1A0586B1705C1697X,TE1A6B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.208054,97,111,381,0,E1A0569B1703C1697X,TE1A6B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.240321,98,111,381,0,E1A0555B1702C1697X,TE1A6B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.252884,99,111,382,0,E1A0540B1701C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.265444,99,111,383,0,E1A0528B1699C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.277948,100,112,385,0,E1A0518B1698C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.289908,100,111,384,0,E1A0506B1698C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.301939,100,111,385,0,E1A0494B1698C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.314762,100,111,385,0,E1A0482B1698C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.326201,101,110,386,0,E1A0471B1699C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.338346,101,110,387,0,E1A0462B1700C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.350714,101,109,387,0,E1A0452B1701C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.362482,101,107,386,0,E1A0441B1703C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.376036,101,106,387,0,E1A0434B1706C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.387691,101,105,388,0,E1A0428B1708C1697X,TE1A7B2C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.399778,101,104,388,0,E1A0422B1710C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.412131,101,103,390,0,E1A0419B1712C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.424209,101,102,391,0,E1A0417B1713C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.443907,100,101,392,0,E1A0416B1715C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.468155,99,99,393,0,E1A0417B1717C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.480304,99,98,393,0,E1A0417B1718C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.49965,97,96,393,0,E1A0420B1720C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.511935,97,95,395,0,E1A0423B1722C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.523956,96,93,396,0,E1A0426B1724C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.53626,95,92,397,0,E1A0428B1726C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.548358,94,90,398,0,E1A0432B1728C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.56832,93,88,400,0,E1A0435B1732C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.580337,93,86,401,0,E1A0438B1736C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.599922,92,84,401,0,E1A0441B1741C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
0.611984,91,82,402,0,E1A0443B1747C1697X,TE1A7B1C2D000X,1,1,1,1,1.4,1.4,1.4,1.8,0.0,0.0
