timestamp,errXmm,errYmm,errZmm,Heading1,Heading2,Heading3,Heading4,Heading5
0.778875,44,10,331,0,0,0,0,0
0.793037,45,10,332,0,0,0,0,0
0.806779,44,10,331,0,0,0,0,0
0.820547,44,10,331,0,0,0,0,0
0.836628,45,10,332,0,0,0,0,0
0.850366,45,10,332,0,0,0,0,0
0.864526,44,10,331,0,0,0,0,0
0.87841,45,10,332,0,0,0,0,0
0.892338,44,9,330,0,0,0,0,0
0.905767,44,9,331,0,0,0,0,0
0.919026,44,9,331,0,0,0,0,0
0.932363,45,9,332,0,0,0,0,0
0.947796,44,9,331,0,0,0,0,0
0.96123,44,9,332,0,0,0,0,0
0.974701,44,9,330,0,0,0,0,0
0.988472,44,9,331,0,0,0,0,0
1.00162,45,9,332,0,0,0,0,0
0.0135786,45,9,333,0,0,0,0,0
0.0272545,44,9,330,0,0,0,0,0
0.0408242,44,9,330,0,0,0,0,0
0.0541486,44,9,329,0,0,0,0,0
0.0678682,44,9,329,0,0,0,0,0
0.0815611,44,9,327,0,0,0,0,0
0.0952772,44,9,329,0,0,0,0,0
0.108853,44,9,329,0,0,0,0,0
0.122482,44,9,331,0,0,0,0,0
0.136169,45,9,331,0,0,0,0,0
0.149928,44,9,331,0,0,0,0,0
0.163637,44,9,330,0,0,0,0,0
0.177195,44,9,330,0,0,0,0,0
0.192434,45,9,332,0,0,0,0,0
0.207057,45,9,332,0,0,0,0,0
0.220896,44,9,330,0,0,0,0,0
0.234667,45,9,333,0,0,0,0,0
0.247976,45,9,333,0,0,0,0,0
0.261574,45,9,333,0,0,0,0,0
0.27531,45,9,333,0,0,0,0,0
0.289303,45,9,333,0,0,0,0,0
0.305381,45,9,333,0,0,0,0,0
0.318915,45,9,333,0,0,0,0,0
0.33253,45,9,333,0,0,0,0,0
0.346326,45,9,333,0,0,0,0,0
0.360068,45,9,333,0,0,0,0,0
0.376258,45,9,333,0,0,0,0,0
0.390973,45,9,333,0,0,0,0,0
0.414623,45,9,333,0,0,0,0,0
0.430843,45,9,333,0,0,0,0,0
0.444513,45,9,333,0,0,0,0,0
0.460225,45,9,333,0,0,0,0,0
0.47501,45,9,333,0,0,0,0,0
0.492643,45,9,333,0,0,0,0,0
0.506992,45,9,333,0,0,0,0,0
0.521201,45,9,333,0,0,0,0,0
0.537251,45,9,333,0,0,0,0,0
0.551934,45,9,333,0,0,0,0,0
0.565829,45,9,333,0,0,0,0,0
0.581508,45,9,333,0,0,0,0,0
0.597921,45,9,333,0,0,0,0,0
0.6136,45,9,333,0,0,0,0,0
0.629831,45,9,333,0,0,0,0,0
0.645482,45,9,333,0,0,0,0,0
0.661285,45,9,333,0,0,0,0,0
0.674987,45,9,333,0,0,0,0,0
0.688629,45,9,333,0,0,0,0,0
0.701942,45,9,333,0,0,0,0,0
0.715056,45,9,332,0,0,0,0,0
0.728604,45,9,333,0,0,0,0,0
0.742882,45,8,332,0,0,0,0,0
0.75692,45,8,331,0,0,0,0,0
0.770742,44,8,329,0,0,0,0,0
0.7845,44,8,327,0,0,0,0,0
0.798718,44,9,326,0,0,0,0,0
0.812693,44,9,326,0,0,0,0,0
0.826448,44,8,326,0,0,0,0,0
0.840498,44,8,327,0,0,0,0,0
0.857224,44,8,328,0,0,0,0,0
0.871115,44,8,329,0,0,0,0,0
0.884967,44,8,329,0,0,0,0,0
0.898622,44,8,329,0,0,0,0,0
0.915343,44,8,329,0,0,0,0,0
0.930146,44,8,329,0,0,0,0,0
0.943786,44,8,329,0,0,0,0,0
0.957292,44,8,329,0,0,0,0,0
0.970813,44,8,329,0,0,0,0,0
0.984258,44,8,329,0,0,0,0,0
0.997914,44,8,329,0,0,0,0,0
1.01157,44,8,329,0,0,0,0,0
0.0137938,44,8,329,0,0,0,0,0
0.0272894,44,8,329,0,0,0,0,0
0.0406312,44,8,329,0,0,0,0,0
0.0545722,44,8,329,0,0,0,0,0
0.0685741,44,8,329,0,0,0,0,0
0.0822999,44,8,329,0,0,0,0,0
0.0961206,44,8,329,0,0,0,0,0
0.109588,44,8,329,0,0,0,0,0
0.123259,44,8,329,0,0,0,0,0
0.139019,44,8,329,0,0,0,0,0
0.15527,44,8,329,0,0,0,0,0
0.168828,44,8,329,0,0,0,0,0
0.182593,44,8,329,0,0,0,0,0
0.196145,44,8,329,0,0,0,0,0
0.210215,44,8,329,0,0,0,0,0
0.228596,45,8,331,0,0,0,0,0
0.242209,45,9,330,0,0,0,0,0
0.25624,45,8,331,0,0,0,0,0
0.270887,45,8,331,0,0,0,0,0
0.285273,45,8,331,0,0,0,0,0
0.300533,45,8,331,0,0,0,0,0
0.319877,45,8,331,0,0,0,0,0
0.3341,46,9,336,0,0,0,0,0
0.347719,46,9,336,0,0,0,0,0
0.361502,46,9,336,0,0,0,0,0
0.377589,45,8,332,0,0,0,0,0
0.391359,45,8,333,0,0,0,0,0
0.405267,45,8,332,0,0,0,0,0
0.419173,44,8,331,0,0,0,0,0
0.433412,44,8,329,0,0,0,0,0
0.447157,44,8,329,-481,91,330,0,0
