timestamp,errXmm,errYmm,errZmm,Heading1,Heading2,Heading3,Heading4,Heading5
0.897891,61,-223,302,0,0,0,0,0
0.91506,61,-223,302,0,0,0,0,0
0.929885,61,-223,302,0,0,0,0,0
0.949267,61,-223,302,0,0,0,0,0
0.96616,61,-223,302,0,0,0,0,0
0.979941,61,-223,302,0,0,0,0,0
0.993745,61,-223,302,0,0,0,0,0
1.00938,61,-223,302,0,0,0,0,0
0.0182658,61,-223,302,0,0,0,0,0
0.0315048,61,-223,302,0,0,0,0,0
0.0474214,61,-223,302,0,0,0,0,0
0.0605875,61,-223,302,0,0,0,0,0
0.0782091,61,-223,302,0,0,0,0,0
0.0920436,56,-140,328,0,0,0,0,0
0.107161,56,-140,328,0,0,0,0,0
0.120337,52,-81,335,0,0,0,0,0
0.133525,49,-43,334,0,0,0,0,0
0.148613,46,-19,333,0,0,0,0,0
0.161713,45,-3,332,0,0,0,0,0
0.175179,44,6,331,0,0,0,0,0
0.188391,44,12,329,0,0,0,0,0
0.20159,44,16,329,0,0,0,0,0
0.21501,44,18,332,0,0,0,0,0
0.228584,44,19,333,0,0,0,0,0
0.242274,44,19,331,0,0,0,0,0
0.255673,43,20,330,0,0,0,0,0
0.269545,44,19,331,0,0,0,0,0
0.283249,44,19,332,0,0,0,0,0
0.296752,44,19,332,0,0,0,0,0
0.310374,44,18,332,0,0,0,0,0
0.324973,44,18,332,0,0,0,0,0
0.338654,44,18,333,0,0,0,0,0
0.352549,44,17,331,0,0,0,0,0
0.365866,44,17,331,0,0,0,0,0
0.379036,44,16,331,0,0,0,0,0
0.392562,44,16,331,0,0,0,0,0
0.40617,44,16,332,0,0,0,0,0
0.419761,44,15,333,0,0,0,0,0
0.433348,44,15,332,0,0,0,0,0
0.446941,44,15,331,0,0,0,0,0
0.460655,44,14,331,0,0,0,0,0
0.474166,44,14,331,0,0,0,0,0
0.488654,44,14,331,0,0,0,0,0
0.502984,44,13,333,0,0,0,0,0
0.517371,44,13,332,0,0,0,0,0
0.531356,44,13,332,0,0,0,0,0
0.545277,44,13,331,0,0,0,0,0
0.559158,44,12,331,0,0,0,0,0
0.572794,44,12,329,0,0,0,0,0
0.586515,44,12,330,0,0,0,0,0
0.600466,44,12,330,0,0,0,0,0
0.614229,44,12,330,0,0,0,0,0
0.627655,44,12,330,0,0,0,0,0
0.641255,44,11,329,0,0,0,0,0
0.654674,45,11,332,0,0,0,0,0
0.668618,44,11,331,0,0,0,0,0
0.682284,45,11,333,0,0,0,0,0
0.695791,44,11,330,0,0,0,0,0
0.709693,44,11,328,0,0,0,0,0
0.723113,44,10,330,0,0,0,0,0
0.736798,44,10,330,0,0,0,0,0
0.750402,44,10,331,0,0,0,0,0
0.765171,44,10,331,0,0,0,0,0
