timestamp,errXmm,errYmm,errZmm,MarkerPresent,Touched,Encoder,Heading4,Heading5
0.015528,0,0,0,0,0,0,0,0
0.0312636,0,0,0,0,0,,0,0
0.0464122,0,0,0,0,0,,0,0
0.0607798,0,0,0,0,0,,0,0
0.0745713,0,0,0,0,0,,0,0
0.0895305,0,0,0,0,0,,0,0
0.103287,0,0,0,0,0,,0,0
0.117193,0,0,0,0,0,,0,0
0.131072,0,0,0,0,0,,0,0
0.144728,138,43,442,1,0,,0,0
0.158455,139,43,444,1,0,,0,0
0.172198,138,43,439,1,0,,0,0
0.186073,139,43,442,1,0,,0,0
0.199942,139,43,444,1,0,,0,0
0.214189,139,43,442,1,0,,0,0
0.228341,139,44,444,1,0,,0,0
0.242341,139,44,443,1,0,,0,0
0.256363,138,44,440,1,0,,0,0
0.270241,138,44,441,1,0,,0,0
0.284155,137,43,440,1,0,,0,0
0.298064,137,43,442,1,0,,0,0
0.312072,137,42,441,1,0,,0,0
0.32609,137,41,444,1,0,,0,0
0.34016,136,40,440,1,0,,0,0
0.354214,136,40,442,1,0,,0,0
0.36924,137,39,444,1,0,,0,0
0.387531,137,39,445,1,0,,0,0
0.403846,136,38,444,1,0,,0,0
0.420028,136,37,446,1,0,,0,0
0.435793,136,37,446,1,0,,0,0
0.450496,135,36,445,1,0,,0,0
0.464824,136,36,447,1,0,,0,0
0.478994,135,35,446,1,0,,0,0
0.493312,134,35,446,1,0,,0,0
0.50866,133,34,443,1,0,,0,0
0.523073,132,34,442,1,0,,0,0
0.537275,132,34,442,1,0,,0,0
0.551434,132,34,443,1,0,,0,0
0.565602,131,34,443,1,0,,0,0
0.579825,131,34,446,1,0,,0,0
0.594103,131,34,447,1,0,,0,0
0.60836,130,34,447,1,0,,0,0
0.623276,130,34,448,1,0,,0,0
0.641002,129,34,449,1,0,,0,0
0.657498,128,34,449,1,0,,0,0
0.67361,127,33,447,1,0,,0,0
0.687895,125,32,445,1,0,,0,0
0.702726,124,32,445,1,0,,0,0
0.717164,123,31,446,1,0,,0,0
0.732247,122,31,446,1,0,,0,0
0.746471,120,31,444,1,0,,0,0
0.760701,120,31,443,1,0,,0,0
0.774938,119,31,443,1,0,,0,0
0.789033,118,31,441,1,0,,0,0
0.803171,118,32,441,1,0,,0,0
0.817335,117,33,441,1,0,,0,0
0.83145,116,34,440,1,0,,0,0
0.845446,116,35,440,1,0,,0,0
0.859408,115,36,438,1,0,,0,0
0.873478,115,37,438,1,0,,0,0
0.888685,115,37,436,1,0,,0,0
0.902819,115,38,434,1,0,,0,0
0.917514,115,39,432,1,0,,0,0
0.931618,115,39,430,1,0,,0,0
0.945664,116,40,428,1,0,,0,0
0.959689,116,41,425,1,0,,0,0
0.973342,116,41,422,1,0,,0,0
0.987477,117,42,422,1,0,,0,0
1.00155,117,43,419,1,0,,0,0
1.01563,117,43,415,1,0,,0,0
1.02972,118,44,414,1,0,,0,0
1.04382,119,44,413,1,0,,0,0
1.05786,119,45,413,1,0,,0,0
1.07166,119,45,409,1,0,,0,0
1.08525,117,45,404,1,0,,0,0
1.09967,117,45,400,1,0,,0,0
1.11388,116,45,399,1,0,,0,0
1.12805,115,45,396,1,0,,0,0
1.14216,115,45,393,1,0,,0,0
1.15614,114,44,390,1,0,,0,0
1.17002,113,44,388,1,0,,0,0
1.18425,112,44,387,1,0,,0,0
1.19836,111,44,384,1,0,,0,0
1.21253,109,44,381,1,0,,0,0
1.22656,107,44,379,1,0,,0,0
1.24012,106,44,377,1,0,,0,0
1.25449,104,43,375,1,0,,0,0
1.26857,103,43,374,1,0,,0,0
1.28248,102,43,372,1,0,,0,0
1.29654,101,42,371,1,0,,0,0
1.31066,101,41,369,1,0,,0,0
1.32475,100,40,369,1,0,,0,0
1.33854,99,39,368,1,0,,0,0
1.3553,97,38,367,1,0,,0,0
1.36946,96,37,367,1,0,,0,0
1.38346,94,36,366,1,0,,0,0
1.39758,93,35,365,1,0,,0,0
1.41159,91,35,365,1,0,,0,0
1.42552,90,34,364,1,0,,0,0
1.4394,88,33,363,1,0,,0,0
1.45348,87,32,363,1,0,,0,0
1.46774,84,31,362,1,0,,0,0
1.48165,82,30,362,1,0,,0,0
1.49543,80,29,362,1,0,,0,0
1.5095,78,28,362,1,0,,0,0
1.52315,76,28,361,1,0,,0,0
1.53688,74,27,360,1,0,,0,0
1.55023,72,26,360,1,0,,0,0
1.56342,69,26,358,1,0,,0,0
1.57716,67,25,358,1,0,,0,0
1.59086,65,25,358,1,0,,0,0
1.60446,62,24,357,1,0,,0,0
1.61747,60,24,357,1,0,,0,0
1.631,57,24,356,1,0,,0,0
1.64441,54,25,355,1,0,,0,0
1.65779,51,25,354,1,0,,0,0
1.67112,48,26,354,1,0,,0,0
1.68387,45,27,353,1,0,,0,0
1.6974,42,28,354,1,0,,0,0
1.7108,39,29,353,1,0,,0,0
1.72412,36,30,352,1,0,,0,0
1.73733,34,30,351,1,0,,0,0
1.75015,31,31,350,1,0,,0,0
1.76353,29,32,350,1,0,,0,0
1.77677,28,32,349,1,0,,0,0
1.78974,25,33,348,1,0,,0,0
1.80269,23,34,348,1,0,,0,0
1.81523,21,34,347,1,0,,0,0
1.82822,19,35,347,1,0,,0,0
1.84174,17,35,346,1,0,,0,0
1.85565,16,36,345,1,0,,0,0
1.86888,15,36,344,1,0,,0,0
1.88154,13,37,343,1,0,,0,0
1.89512,11,37,342,1,0,,0,0
1.90998,9,38,342,1,0,,0,0
1.92631,8,38,342,1,0,,0,0
1.94088,6,38,342,1,0,,0,0
1.95391,4,38,342,1,0,,0,0
1.96646,2,38,341,1,0,,0,0
1.98166,0,38,340,1,0,,0,0
1.99613,-1,38,340,1,0,,0,0
2.00925,-3,38,340,1,0,,0,0
2.02199,-4,38,340,1,0,,0,0
2.03471,-6,38,340,1,0,,0,0
2.04759,-8,38,339,1,0,,0,0
2.06042,-10,38,339,1,0,,0,0
2.07294,-11,37,338,1,0,,0,0
2.08575,-13,36,336,1,0,,0,0
2.09799,-15,36,337,1,0,,0,0
2.11086,-16,36,338,1,0,,0,0
2.12348,-18,35,338,1,0,,0,0
2.13602,-19,35,338,1,0,,0,0
2.14841,-20,35,337,1,0,,0,0
2.16136,-21,34,335,1,0,,0,0
2.17459,-22,34,334,1,0,,0,0
2.18804,-24,33,334,1,0,,0,0
