timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00114959,-241,137,597,0,E1A1923B0004C1838X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0152889,-250,142,617,0,E1A1923B0004C1839X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0280591,-243,139,600,0,E1A1923B0004C1839X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0402676,-243,139,600,0,E1A1923B0004C1839X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0526763,-246,140,606,0,E1A1923B0004C1840X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0648102,-245,140,604,0,E1A1923B0004C1840X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0769691,-244,140,601,0,E1A1923B0004C1841X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0897611,-244,140,601,0,E1A1923B0004C1841X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.101863,-245,141,602,0,E1A1923B0004C1842X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.114423,-76,170,619,0,E1A1478B0803C1842X,TE1A1B9C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.126775,-76,170,622,0,E1A1480B0804C1842X,TE1A3B5C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.138817,-76,170,622,0,E1A1480B0804C1842X,TE1A2B5C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.15139,-76,170,622,0,E1A1480B0804C1842X,TE1A2B5C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.163598,-76,170,622,0,E1A1480B0804C1842X,TE1A2B5C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.175545,-73,169,618,0,E1A1473B0816C1842X,TE1A2B5C1D010X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
