timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
5.36532,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.38392,24,-14,123,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.39751,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.40899,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.43177,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.44505,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.45654,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.46833,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.47975,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.49073,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.50292,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.51416,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.52643,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.53802,24,-14,121,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.54907,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.56103,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.57453,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.58711,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.59921,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.61055,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.6216,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.63252,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.64401,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.65506,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.66612,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.67769,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.68868,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.70002,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.71148,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.72257,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.73396,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.74531,24,-14,122,0,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5.75675,24,-14,122,1,I|050|,i|049|,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
