timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00103792,-2,8,629,0,E1A1898B1890C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0157963,-3,8,626,0,E1A1899B1888C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0310656,-2,8,624,0,E1A1899B1890C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.044909,-2,8,631,0,E1A1900B1891C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0578901,-2,8,630,0,E1A1900B1892C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0713547,-2,7,630,0,E1A1901B1893C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0843206,-2,7,629,0,E1A1901B1894C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0992191,-2,7,629,0,E1A1901B1895C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.112219,-2,7,632,0,E1A1901B1897C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.124626,-2,7,634,0,E1A1901B1898C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.137345,42,103,631,0,E1A1221B1649C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.150015,42,103,632,0,E1A1222B1650C1925X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.164313,42,101,623,0,E1A1223B1651C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.179127,42,101,623,0,E1A1223B1651C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.191177,42,101,623,0,E1A1223B1651C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.203427,41,101,623,0,E1A1226B1650C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.215487,42,100,611,0,E1A1214B1650C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.227169,44,101,610,0,E1A1193B1657C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.239985,47,101,612,0,E1A1179B1665C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.252935,49,101,615,0,E1A1168B1674C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.265162,51,101,619,0,E1A1156B1681C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.277945,52,101,619,0,E1A1146B1686C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.290038,53,101,619,0,E1A1142B1691C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.302744,54,101,624,0,E1A1139B1694C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.315198,55,101,625,0,E1A1137B1695C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.327551,55,101,624,0,E1A1136B1697C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.340364,55,100,620,0,E1A1134B1699C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.353011,55,100,621,0,E1A1133B1701C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.364954,56,100,623,0,E1A1132B1703C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.379539,56,99,622,0,E1A1133B1706C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.394082,56,99,622,0,E1A1136B1708C1925X,TE1A4B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.415053,55,98,622,0,E1A1139B1710C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.427208,55,97,622,0,E1A1143B1711C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.43956,55,97,622,0,E1A1149B1713C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.459474,54,95,622,0,E1A1160B1715C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.479297,52,94,621,0,E1A1175B1716C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.491369,51,92,621,0,E1A1192B1717C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.504056,49,91,621,0,E1A1210B1717C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.516228,47,89,621,0,E1A1230B1716C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.528597,44,88,621,0,E1A1251B1714C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.541509,42,87,625,0,E1A1274B1712C1925X,TE1A4B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.553736,40,86,627,0,E1A1298B1710C1925X,TE1A3B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.565871,37,85,628,0,E1A1322B1707C1925X,TE1A3B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.578558,34,83,627,0,E1A1348B1704C1925X,TE1A3B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.590845,31,81,629,0,E1A1374B1700C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.603625,28,80,629,0,E1A1401B1696C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.616134,25,78,631,0,E1A1429B1693C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.628116,22,76,631,0,E1A1453B1688C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.640702,18,74,631,0,E1A1478B1684C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.653031,15,72,631,0,E1A1504B1680C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.666623,12,70,633,0,E1A1530B1676C1925X,TE1A3B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.679286,9,68,636,0,E1A1555B1672C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.691616,6,66,638,0,E1A1581B1668C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.704578,2,63,642,0,E1A1610B1663C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.718817,-1,61,646,0,E1A1640B1659C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.731234,-4,58,647,0,E1A1668B1653C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.751493,-8,55,651,0,E1A1697B1646C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.775283,-12,52,652,0,E1A1726B1638C1925X,TE1A2B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.788038,-16,49,655,0,E1A1753B1627C1925X,TE1A1B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.807363,-19,46,655,0,E1A1779B1614C1925X,TE1A1B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.820023,-23,43,653,0,E1A1802B1599C1925X,TE1A1B2C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
