timestamp,errXmm,errYmm,errZmm,MarkerPresent,Touched,Heading3,Heading4,Heading5
0.00230674,8,12,630,0,0,0,0,0
0.0184655,8,12,630,1,0,0,0,0
0.0336907,8,12,625,1,0,0,0,0
0.0489094,8,12,624,0,0,0,0,0
0.0655676,8,12,624,1,0,0,0,0
0.0806609,8,12,620,0,0,0,0,0
0.095983,8,12,620,0,0,0,0,0
0.111349,8,12,620,1,0,0,0,0
0.126215,7,13,619,1,0,0,0,0
0.140992,-73,33,576,1,0,0,0,0
0.155912,-145,52,540,1,0,0,0,0
0.171115,-208,68,509,1,0,0,0,0
0.186006,-258,81,482,1,0,0,0,0
0.200734,-300,91,460,1,0,0,0,0
0.215815,-333,100,444,0,0,0,0,0
0.229032,-333,100,444,0,0,0,0,0
0.241639,-333,100,444,0,0,0,0,0
0.254316,-333,100,444,0,0,0,0,0
0.266357,-333,100,444,0,0,0,0,0
0.279095,-333,100,444,0,0,0,0,0
0.292504,-333,100,444,1,0,0,0,0
0.308537,-364,102,422,1,0,0,0,0
0.322908,-392,104,408,1,0,0,0,0
0.337324,-412,105,397,1,0,0,0,0
0.351522,-427,104,390,1,0,0,0,0
0.365433,-438,104,386,1,0,0,0,0
0.379345,-444,103,385,1,0,0,0,0
0.393351,-445,101,383,1,0,0,0,0
0.406811,-446,100,385,0,0,0,0,0
0.419899,-446,100,385,1,0,0,0,0
0.433216,-444,99,390,0,0,0,0,0
0.445842,-444,99,390,0,0,0,0,0
0.458479,-444,99,390,1,0,0,0,0
0.471909,-434,97,395,0,0,0,0,0
0.484739,-434,97,395,0,0,0,0,0
0.497898,-434,97,395,0,0,0,0,0
0.511247,-434,97,395,0,0,0,0,0
0.524381,-434,97,395,0,0,0,0,0
0.537156,-434,97,395,0,0,0,0,0
0.550276,-434,97,395,0,0,0,0,0
0.563077,-434,97,395,0,0,0,0,0
0.576105,-434,97,395,0,0,0,0,0
0.588829,-434,97,395,0,0,0,0,0
0.601704,-434,97,395,0,0,0,0,0
0.614559,-434,97,395,0,0,0,0,0
0.627663,-434,97,395,0,0,0,0,0
0.640999,-434,97,395,0,0,0,0,0
0.654042,-434,97,395,0,0,0,0,0
0.667751,-434,97,395,0,0,0,0,0
0.681052,-434,97,395,0,0,0,0,0
0.69608,-434,97,395,0,0,0,0,0
0.709456,-434,97,395,0,0,0,0,0
0.72299,-434,97,395,0,0,0,0,0
0.735961,-434,97,395,0,0,0,0,0
0.749422,-434,97,395,0,0,0,0,0
0.76249,-434,97,395,0,0,0,0,0
0.776174,-434,97,395,0,0,0,0,0
0.79005,-434,97,395,0,0,0,0,0
0.80324,-434,97,395,0,0,0,0,0
0.816634,-434,97,395,0,0,0,0,0
0.829692,-434,97,395,0,0,0,0,0
0.843208,-434,97,395,0,0,0,0,0
0.856967,-434,97,395,0,0,0,0,0
0.869989,-434,97,395,0,0,0,0,0
0.883352,-434,97,395,0,0,0,0,0
0.897837,-434,97,395,0,0,0,0,0
0.911117,-434,97,395,0,0,0,0,0
0.924686,-434,97,395,0,0,0,0,0
0.937804,-434,97,395,0,0,0,0,0
0.951269,-434,97,395,0,0,0,0,0
0.964213,-434,97,395,0,0,0,0,0
0.977573,-434,97,395,0,0,0,0,0
0.992141,-434,97,395,0,0,0,0,0
1.00586,-434,97,395,0,0,0,0,0
1.01951,-434,97,395,0,0,0,0,0
1.03298,-434,97,395,0,0,0,0,0
1.0465,-434,97,395,1,0,0,0,0
1.06017,-370,92,419,0,0,0,0,0
1.07333,-370,92,419,0,0,0,0,0
1.08639,-370,92,419,0,0,0,0,0
1.09961,-370,92,419,0,0,0,0,0
1.11963,-370,92,419,0,0,0,0,0
1.14102,-370,92,419,0,0,0,0,0
1.15568,-370,92,419,0,0,0,0,0
1.16898,-370,92,419,0,0,0,0,0
1.18195,-370,92,419,0,0,0,0,0
1.19541,-370,92,419,0,0,0,0,0
1.20901,-370,92,419,1,0,0,0,0
1.22269,-301,85,441,1,0,0,0,0
1.23666,-241,78,455,1,0,0,0,0
1.25131,-190,72,470,0,0,0,0,0
1.26424,-190,72,470,1,0,0,0,0
1.27816,-147,67,482,1,0,0,0,0
1.29286,-111,63,500,1,0,0,0,0
1.30662,-81,60,507,1,0,0,0,0
1.3202,-56,57,515,0,0,0,0,0
1.33368,-56,57,515,1,0,0,0,0
1.34761,-35,55,520,0,0,0,0,0
1.36122,-35,55,520,0,0,0,0,0
1.37487,-35,55,520,0,0,0,0,0
1.38831,-35,55,520,1,0,0,0,0
1.40197,-16,53,524,1,0,0,0,0
1.41568,0,51,529,0,0,0,0,0
1.42883,0,51,529,0,0,0,0,0
1.44203,0,51,529,0,0,0,0,0
1.45504,0,51,529,0,0,0,0,0
1.46835,0,51,529,0,0,0,0,0
1.48149,0,51,529,0,0,0,0,0
1.4943,0,51,529,0,0,0,0,0
1.50709,0,51,529,0,0,0,0,0
1.52007,0,51,529,0,0,0,0,0
1.53311,0,51,529,1,0,0,0,0
1.54753,22,48,524,1,0,0,0,0
1.56214,39,45,520,1,0,0,0,0
1.57634,53,43,519,1,0,0,0,0
1.59074,64,41,518,1,0,0,0,0
1.60498,71,40,515,1,0,0,0,0
