timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00100416,-6,-14,659,0,E1A1925B1918C1811X,TE1A1B1C2D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0252947,-7,-14,659,0,E1A1925B1916C1811X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0379983,-7,-14,660,0,E1A1925B1915C1812X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0505424,-7,-14,656,0,E1A1925B1915C1811X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0631264,-7,-14,658,0,E1A1925B1914C1811X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.0754103,96,-129,667,0,E1A1537B1914C0990X,TE1A1B1C1D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.088116,98,-132,679,0,E1A1538B1914C0990X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.100712,96,-129,667,0,E1A1537B1914C0990X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.112972,96,-129,667,0,E1A1537B1914C0990X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.12558,94,-128,658,0,E1A1539B1914C0989X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.137431,95,-126,650,0,E1A1534B1914C0991X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.150972,97,-128,657,0,E1A1527B1914C0988X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.166189,98,-129,657,0,E1A1523B1914C0982X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.185116,99,-130,659,0,E1A1520B1914C0979X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.199499,100,-129,656,0,E1A1517B1914C0977X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.212148,100,-129,653,0,E1A1514B1914C0975X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.229182,100,-129,654,0,E1A1512B1914C0973X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.241815,101,-130,655,0,E1A1511B1914C0972X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.254399,101,-130,656,0,E1A1509B1914C0972X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.266967,102,-130,657,0,E1A1508B1914C0972X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
0.279402,102,-130,657,0,E1A1507B1914C0971X,TE1A2B1C5D000X,1,1,1,1,2.0,2.0,2.0,1.0,0.0,0.0
