timestamp,errXmm,errYmm,errZmm,MarkerPresent,Touched,Heading3,Heading4,Heading5
0.00219333,39,25,515,1,0,0,0,0
0.0173764,39,25,516,1,0,0,0,0
0.0322878,39,25,514,0,0,0,0,0
0.04709,39,25,514,1,0,0,0,0
0.0622303,40,25,515,1,0,0,0,0
0.0770284,40,25,515,1,0,0,0,0
0.0919623,40,26,516,1,0,0,0,0
0.107078,40,26,514,1,0,0,0,0
0.121825,40,26,514,1,0,0,0,0
0.137444,40,26,515,1,0,0,0,0
0.152535,40,40,515,1,0,0,0,0
0.167829,40,51,512,1,0,0,0,0
0.182928,40,62,516,1,0,0,0,0
0.197916,39,69,513,1,0,0,0,0
0.212703,39,76,511,1,0,0,0,0
0.227578,39,80,509,1,0,0,0,0
0.242817,39,84,508,1,0,0,0,0
0.257564,39,87,506,1,0,0,0,0
0.272408,39,89,505,1,0,0,0,0
0.287502,39,90,505,1,0,0,0,0
0.302229,39,91,506,1,0,0,0,0
0.316677,39,92,509,1,0,0,0,0
0.3309,39,92,508,1,0,0,0,0
0.3456,39,92,507,1,0,0,0,0
0.359942,39,91,508,1,0,0,0,0
0.374474,39,90,510,1,0,0,0,0
0.389106,40,89,509,1,0,0,0,0
0.404223,40,88,511,1,0,0,0,0
0.418702,41,87,512,1,0,0,0,0
0.432829,41,85,512,1,0,0,0,0
0.44729,41,84,511,1,0,0,0,0
0.461555,42,82,511,1,0,0,0,0
0.47609,42,81,509,1,0,0,0,0
0.490966,42,79,510,1,0,0,0,0
0.505291,43,78,509,1,0,0,0,0
0.519948,44,76,509,1,0,0,0,0
0.534664,45,76,513,1,0,0,0,0
0.549747,46,75,511,1,0,0,0,0
0.564321,47,74,513,1,0,0,0,0
0.578505,47,74,513,1,0,0,0,0
0.593276,47,73,511,1,0,0,0,0
0.608263,48,74,515,1,0,0,0,0
0.623477,48,74,518,1,0,0,0,0
0.640147,48,74,515,1,0,0,0,0
0.655056,47,74,515,1,0,0,0,0
0.669873,47,74,512,1,0,0,0,0
0.684815,47,75,516,1,0,0,0,0
0.699683,46,76,519,1,0,0,0,0
0.714579,45,76,518,1,0,0,0,0
0.729743,44,76,515,1,0,0,0,0
0.744604,44,76,517,1,0,0,0,0
0.759537,43,77,516,1,0,0,0,0
0.774383,43,77,520,1,0,0,0,0
0.789189,42,77,519,1,0,0,0,0
0.803523,42,77,519,1,0,0,0,0
0.818124,42,76,516,1,0,0,0,0
0.83248,41,75,513,1,0,0,0,0
0.847154,41,74,511,1,0,0,0,0
0.861569,41,74,511,1,0,0,0,0
0.876175,42,73,509,1,0,0,0,0
0.890871,43,72,512,1,0,0,0,0
0.90543,43,71,509,1,0,0,0,0
0.920132,44,71,512,1,0,0,0,0
0.934497,45,70,512,1,0,0,0,0
0.949066,46,69,512,1,0,0,0,0
0.963827,46,69,513,1,0,0,0,0
0.978662,47,68,510,1,0,0,0,0
0.993364,48,68,510,1,0,0,0,0
1.00865,48,68,510,1,0,0,0,0
1.02339,48,67,507,1,0,0,0,0
1.03855,49,68,511,1,0,0,0,0
1.05356,49,68,511,1,0,0,0,0
1.06813,49,68,511,1,0,0,0,0
1.08289,49,67,509,1,0,0,0,0
1.09759,48,67,507,1,0,0,0,0
1.112,48,67,508,1,0,0,0,0
1.12654,48,67,508,1,0,0,0,0
1.14137,48,67,509,1,0,0,0,0
1.15649,49,67,509,1,0,0,0,0
1.17139,49,67,511,1,0,0,0,0
