timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
14.2065,127,-1,631,1,DRIVE [ 92 ] [ 1 ] [ 1946 1946 1946 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 92 ] [ 1 ] [ 1946 1946 1946 ] [    3    2   12 ] [   4430  19422  14919 ] [ 1 ],1.30,1.90,1.30,1.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00153332,127,-1,631,0,DRIVE [ 74 ] [ 1 ] [ 1946 1944 1946 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 74 ] [ 1 ] [ 1178 1944 1642 ] [   75    3   42 ] [   6347  16447  16770 ] [ 1 ],1.30,1.90,1.30,1.10,217.34,-1.65,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.019202,128,-1,633,0,DRIVE [ 75 ] [ 1 ] [ 1934 1944 1941 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 74 ] [ 1 ] [ 1946 1944 1946 ] [   75    3   42 ] [   6347  16447  16770 ] [ 1 ],1.30,1.90,1.30,1.10,243.37,-1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0343572,128,-1,633,0,DRIVE [ 75 ] [ 1 ] [ 1920 1944 1936 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 75 ] [ 1 ] [ 1934 1944 1941 ] [   75    3   42 ] [   6348  16446  16770 ] [ 1 ],1.30,1.90,1.30,1.10,243.37,-1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0499712,126,-1,625,0,DRIVE [ 76 ] [ 1 ] [ 1908 1944 1931 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 75 ] [ 1 ] [ 1920 1944 1936 ] [    0   -1   17 ] [   6348  16446  16770 ] [ 1 ],1.30,1.90,1.30,1.10,240.32,-1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.0654098,126,-1,624,0,DRIVE [ 76 ] [ 1 ] [ 1895 1944 1926 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 76 ] [ 1 ] [ 1908 1944 1931 ] [    0   -1   17 ] [   6348  16446  16770 ] [ 1 ],1.30,1.90,1.30,1.10,240.27,-1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.078769,129,-1,624,0,DRIVE [ 77 ] [ 1 ] [ 1881 1944 1920 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 76 ] [ 1 ] [ 1895 1944 1926 ] [    0   -1   17 ] [   5051  16503  16543 ] [ 1 ],1.30,1.90,1.30,1.10,246.04,-0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0934045,135,0,622,0,DRIVE [ 77 ] [ 1 ] [ 1866 1944 1915 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 77 ] [ 1 ] [ 1881 1944 1920 ] [    7   18    7 ] [   5051  16503  16543 ] [ 1 ],1.30,1.90,1.30,1.10,255.61,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.107231,140,0,622,0,DRIVE [ 78 ] [ 1 ] [ 1849 1944 1909 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 77 ] [ 1 ] [ 1866 1944 1915 ] [    7   18    7 ] [   5051  16503  16543 ] [ 1 ],1.30,1.90,1.30,1.10,266.64,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.121213,148,0,629,0,DRIVE [ 78 ] [ 1 ] [ 1832 1944 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 78 ] [ 1 ] [ 1849 1944 1909 ] [    7   18    7 ] [   5051  16503  16543 ] [ 1 ],1.30,1.90,1.30,1.10,281.99,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.136853,-185,179,525,0,DRIVE [ 79 ] [ 1 ] [ 1937 1722 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 78 ] [ 1 ] [ 1832 1944 1902 ] [    7   18    7 ] [   5003  16620  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-240.19,196.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.151735,-190,183,545,0,DRIVE [ 79 ] [ 1 ] [ 1937 1699 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 79 ] [ 1 ] [ 1937 1722 1902 ] [   25   14   12 ] [   5003  16620  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-247.40,200.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.166918,-186,175,530,0,DRIVE [ 80 ] [ 1 ] [ 1937 1674 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 79 ] [ 1 ] [ 1937 1699 1902 ] [   25   14   12 ] [   5003  16620  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-241.36,192.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.181718,-185,174,527,0,DRIVE [ 80 ] [ 1 ] [ 1937 1649 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 80 ] [ 1 ] [ 1937 1674 1902 ] [   25   14   12 ] [   4983  16744  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-240.41,191.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.197728,-188,177,535,0,DRIVE [ 81 ] [ 1 ] [ 1935 1624 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 80 ] [ 1 ] [ 1937 1649 1902 ] [    0   34   21 ] [   4983  16744  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-244.44,195.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.212374,-190,180,541,0,DRIVE [ 81 ] [ 1 ] [ 1934 1598 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 81 ] [ 1 ] [ 1935 1624 1902 ] [    0   34   21 ] [   4983  16744  16559 ] [ 1 ],1.30,1.90,1.30,1.10,-246.83,197.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.226964,-190,181,544,0,DRIVE [ 82 ] [ 1 ] [ 1933 1576 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 81 ] [ 1 ] [ 1934 1598 1902 ] [    0   34   21 ] [   4976  17684  16417 ] [ 1 ],1.30,1.90,1.30,1.10,-246.38,199.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.241558,-187,181,545,0,DRIVE [ 82 ] [ 1 ] [ 1931 1558 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 82 ] [ 1 ] [ 1933 1576 1902 ] [    0   31   19 ] [   4976  17684  16417 ] [ 1 ],1.30,1.90,1.30,1.10,-243.21,198.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.255207,-182,181,552,0,DRIVE [ 83 ] [ 1 ] [ 1927 1550 1902 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 82 ] [ 1 ] [ 1931 1558 1902 ] [    0   31   19 ] [   4976  17684  16417 ] [ 1 ],1.30,1.90,1.30,1.10,-236.08,198.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
