timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
0.111579,82,-68,290,0,DRIVE [ 04 ] [ 1 ] [ 1900 1905 1896 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 0 ] [ 1901 1905 1905 ] [    5   25    5 ] [  13370  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,81.94,-82.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.124293,84,-69,291,0,DRIVE [ 05 ] [ 1 ] [ 1893 1905 1883 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 0 ] [ 1900 1905 1896 ] [    5   25    5 ] [  13370  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,83.80,-83.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.136678,84,-69,285,0,DRIVE [ 05 ] [ 1 ] [ 1887 1905 1873 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 0 ] [ 1893 1905 1883 ] [    5   25    5 ] [  13370  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,83.51,-82.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.149466,84,-69,284,0,DRIVE [ 06 ] [ 1 ] [ 1881 1905 1864 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 0 ] [ 1887 1905 1873 ] [    5   25    5 ] [  13372  10709  10094 ] [ 0 ],1.00,1.00,1.20,1.40,84.20,-82.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.162075,85,-69,283,0,DRIVE [ 06 ] [ 1 ] [ 1875 1905 1853 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 0 ] [ 1881 1905 1864 ] [    5   25    9 ] [  13372  10709  10094 ] [ 0 ],1.00,1.00,1.20,1.40,85.33,-82.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.176473,86,-69,283,0,DRIVE [ 07 ] [ 1 ] [ 1869 1905 1843 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 0 ] [ 1875 1905 1853 ] [    5   25    9 ] [  13372  10709  10094 ] [ 0 ],1.00,1.00,1.20,1.40,86.40,-82.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.189196,87,-69,281,0,DRIVE [ 07 ] [ 1 ] [ 1862 1905 1832 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1869 1905 1843 ] [    5   25    9 ] [  13372  10709  10094 ] [ 0 ],1.00,1.00,1.20,1.40,87.22,-82.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.201356,88,-69,279,0,DRIVE [ 08 ] [ 1 ] [ 1855 1905 1821 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1862 1905 1832 ] [    5   25    9 ] [  13380  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,87.79,-82.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.214933,89,-69,276,0,DRIVE [ 08 ] [ 1 ] [ 1848 1905 1811 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1855 1905 1821 ] [    5   26   10 ] [  13380  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,88.63,-82.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.229259,90,-68,274,0,DRIVE [ 09 ] [ 1 ] [ 1840 1905 1799 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1848 1905 1811 ] [    5   26   10 ] [  13380  10708  10096 ] [ 0 ],1.00,1.00,1.20,1.40,89.55,-81.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
