timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
0.125098,240,-15,467,0,DRIVE [ 08 ] [ 1 ] [ 1890 1905 1899 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1900 1905 1905 ] [    8   10    4 ] [  11022   7798  10424 ] [ 0 ],1.10,1.10,1.10,1.10,264.41,-16.50,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.138023,247,-16,480,0,DRIVE [ 08 ] [ 1 ] [ 1875 1905 1892 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1890 1905 1899 ] [    8   10    4 ] [  11022   7798  10424 ] [ 0 ],1.10,1.10,1.10,1.10,272.19,-17.17,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.151739,244,-15,473,0,DRIVE [ 09 ] [ 1 ] [ 1860 1905 1885 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1875 1905 1892 ] [    8   10    4 ] [  11022   7798  10424 ] [ 0 ],1.10,1.10,1.10,1.10,268.69,-16.43,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.165006,246,-15,475,0,DRIVE [ 09 ] [ 1 ] [ 1844 1905 1878 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1860 1905 1885 ] [    8   10    4 ] [  11021   7781  10459 ] [ 0 ],1.10,1.10,1.10,1.10,270.92,-16.29,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.178498,246,-14,474,0,DRIVE [ 10 ] [ 1 ] [ 1828 1905 1871 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1844 1905 1878 ] [   13   20    4 ] [  11021   7781  10459 ] [ 0 ],1.10,1.10,1.10,1.10,270.76,-15.77,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.191534,247,-14,475,0,DRIVE [ 10 ] [ 1 ] [ 1812 1905 1864 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1828 1905 1871 ] [   13   20    4 ] [  11021   7781  10459 ] [ 0 ],1.10,1.10,1.10,1.10,271.68,-15.36,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.204544,247,-14,473,0,DRIVE [ 11 ] [ 1 ] [ 1797 1905 1858 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1812 1905 1864 ] [   13   20    4 ] [  11021   7781  10459 ] [ 0 ],1.10,1.10,1.10,1.10,271.33,-14.89,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.21806,248,-13,474,0,DRIVE [ 11 ] [ 1 ] [ 1781 1905 1851 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1797 1905 1858 ] [   13   20    4 ] [  11043   7760  10450 ] [ 0 ],1.10,1.10,1.10,1.10,272.61,-14.71,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0
0.231383,245,-13,468,0,DRIVE [ 12 ] [ 1 ] [ 1765 1905 1844 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1781 1905 1851 ] [   15    5    7 ] [  11043   7760  10450 ] [ 0 ],1.10,1.10,1.10,1.10,269.66,-14.46,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.246282,246,-13,468,0,DRIVE [ 12 ] [ 1 ] [ 1749 1905 1837 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 12 ] [ 0 ] [ 1765 1905 1844 ] [   15    5    7 ] [  11043   7760  10450 ] [ 0 ],1.10,1.10,1.10,1.10,270.16,-14.47,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.259322,244,-13,464,0,DRIVE [ 13 ] [ 1 ] [ 1731 1905 1829 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 12 ] [ 0 ] [ 1749 1905 1837 ] [   15    5    7 ] [  11235   7454  10451 ] [ 0 ],1.10,1.10,1.10,1.10,268.73,-14.27,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.272314,245,-13,463,0,DRIVE [ 13 ] [ 1 ] [ 1715 1905 1822 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 13 ] [ 0 ] [ 1731 1905 1829 ] [   15    5    7 ] [  11235   7454  10451 ] [ 0 ],1.10,1.10,1.10,1.10,269.06,-14.05,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.285944,243,-12,458,0,DRIVE [ 14 ] [ 1 ] [ 1699 1905 1816 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 13 ] [ 0 ] [ 1715 1905 1822 ] [   34   13    8 ] [  11235   7454  10451 ] [ 0 ],1.10,1.10,1.10,1.10,267.22,-12.95,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
0.299089,242,-11,455,0,DRIVE [ 14 ] [ 1 ] [ 1681 1905 1809 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 14 ] [ 0 ] [ 1699 1905 1816 ] [   34   13    8 ] [  11235   7454  10451 ] [ 0 ],1.10,1.10,1.10,1.10,266.38,-11.67,0.00,0.80,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.00,0.00,0.00,0
