timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
0.0064663,29,10,491,0,DRIVE [ 07 ] [ 1 ] [ 1730 1900 1880 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1744 1900 1877 ] [   42    7   27 ] [  11025   4421  10719 ] [ 0 ],1.10,1.10,1.10,1.10,31.59,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0213816,29,11,490,0,DRIVE [ 08 ] [ 1 ] [ 1725 1900 1880 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1730 1900 1880 ] [   42    7   27 ] [  11025   4421  10719 ] [ 0 ],1.10,1.10,1.10,1.10,32.36,11.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0342872,30,11,486,0,DRIVE [ 08 ] [ 1 ] [ 1716 1900 1881 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1725 1900 1880 ] [   42    7   27 ] [  11025   4421  10719 ] [ 0 ],1.10,1.10,1.10,1.10,33.20,12.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0473347,31,12,487,0,DRIVE [ 09 ] [ 1 ] [ 1709 1900 1881 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1716 1900 1881 ] [   42    7   27 ] [  10861   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,34.27,13.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0607988,32,13,488,0,DRIVE [ 09 ] [ 1 ] [ 1703 1900 1881 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1709 1900 1881 ] [   28    7   27 ] [  10861   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,35.13,13.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0740008,32,13,486,0,DRIVE [ 10 ] [ 1 ] [ 1697 1900 1881 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1703 1900 1881 ] [   28    7   27 ] [  10861   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,35.74,14.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0873646,33,14,483,0,DRIVE [ 10 ] [ 1 ] [ 1692 1900 1882 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1697 1900 1881 ] [   28    7   27 ] [  10861   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,36.12,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.100477,33,14,484,0,DRIVE [ 11 ] [ 1 ] [ 1686 1900 1883 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1692 1900 1882 ] [   28    7   27 ] [  10863   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,36.73,15.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.113338,34,15,484,0,DRIVE [ 11 ] [ 1 ] [ 1678 1900 1883 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1686 1900 1883 ] [   30    7   27 ] [  10863   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,37.57,16.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.126671,35,16,483,0,DRIVE [ 12 ] [ 1 ] [ 1672 1900 1885 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1678 1900 1883 ] [   30    7   27 ] [  10863   4421  10725 ] [ 0 ],1.10,1.10,1.10,1.10,38.04,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
