timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
0.00587932,17,56,381,0,DRIVE [ 01 ] [ 1 ] [ 1614 1666 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 00 ] [ 0 ] [ 1621 1664 1900 ] [   50   25    6 ] [   7653  22835   2468 ] [ 0 ],1.00,1.00,1.00,1.00,16.50,56.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0203268,17,57,382,0,DRIVE [ 01 ] [ 1 ] [ 1612 1663 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 01 ] [ 0 ] [ 1614 1666 1900 ] [   50   25    6 ] [   7653  22835   2468 ] [ 0 ],1.00,1.00,1.00,1.00,16.55,57.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0331215,17,58,384,0,DRIVE [ 02 ] [ 1 ] [ 1612 1662 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 01 ] [ 0 ] [ 1612 1663 1900 ] [   50   25    6 ] [   7651  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,16.57,57.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0462167,17,58,383,0,DRIVE [ 02 ] [ 1 ] [ 1611 1661 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 02 ] [ 0 ] [ 1612 1662 1900 ] [   51   25    6 ] [   7651  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,16.53,57.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0595311,17,58,382,0,DRIVE [ 03 ] [ 1 ] [ 1609 1660 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 02 ] [ 0 ] [ 1611 1661 1900 ] [   51   25    6 ] [   7651  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,16.50,57.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0721959,16,59,383,0,DRIVE [ 03 ] [ 1 ] [ 1608 1658 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 03 ] [ 0 ] [ 1609 1660 1900 ] [   51   25    6 ] [   7651  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,16.45,58.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0861819,16,59,382,0,DRIVE [ 04 ] [ 1 ] [ 1608 1654 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 03 ] [ 0 ] [ 1608 1658 1900 ] [   51   25    6 ] [   7652  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,16.02,59.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.100163,16,60,383,0,DRIVE [ 04 ] [ 1 ] [ 1608 1651 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 0 ] [ 1608 1654 1900 ] [   52   26    7 ] [   7652  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,15.60,59.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.113143,15,61,384,0,DRIVE [ 05 ] [ 1 ] [ 1607 1648 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 0 ] [ 1608 1651 1900 ] [   52   26    7 ] [   7652  22836   2470 ] [ 0 ],1.00,1.00,1.00,1.00,15.42,60.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.126368,15,62,386,0,DRIVE [ 05 ] [ 1 ] [ 1607 1645 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 0 ] [ 1607 1648 1900 ] [   52   26    7 ] [   7653  22837   2470 ] [ 0 ],1.00,1.00,1.00,1.00,15.13,61.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.138978,15,62,386,0,DRIVE [ 06 ] [ 1 ] [ 1636 1662 1900 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 0 ] [ 1607 1645 1900 ] [   51   27    6 ] [   7653  22837   2470 ] [ 0 ],1.00,1.00,1.00,1.00,13.62,55.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.152249,28,-115,342,0,DRIVE [ 06 ] [ 1 ] [ 1798 1662 1034 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 0 ] [ 1636 1662 1900 ] [   51   27    6 ] [   7653  22837   2470 ] [ 0 ],1.00,1.00,1.00,1.00,28.21,-115.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.165599,28,-114,341,0,DRIVE [ 07 ] [ 1 ] [ 1798 1662 1038 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 0 ] [ 1798 1662 1034 ] [   51   27    6 ] [   7653  22837   2470 ] [ 0 ],1.00,1.00,1.00,1.00,27.87,-114.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.17878,28,-115,343,0,DRIVE [ 07 ] [ 1 ] [ 1799 1662 1040 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1798 1662 1038 ] [   51   27    6 ] [   7647  22842   2470 ] [ 0 ],1.00,1.00,1.00,1.00,27.95,-114.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.191688,28,-113,340,0,DRIVE [ 08 ] [ 1 ] [ 1799 1662 1042 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 0 ] [ 1799 1662 1040 ] [   35   26   91 ] [   7647  22842   2470 ] [ 0 ],1.00,1.00,1.00,1.00,27.66,-113.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.204294,28,-114,342,0,DRIVE [ 08 ] [ 1 ] [ 1800 1662 1044 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1799 1662 1042 ] [   35   26   91 ] [   7647  22842   2470 ] [ 0 ],1.00,1.00,1.00,1.00,27.63,-113.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.217426,27,-113,341,0,DRIVE [ 09 ] [ 1 ] [ 1801 1662 1046 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 08 ] [ 0 ] [ 1800 1662 1044 ] [   35   26   91 ] [   7647  22842   2470 ] [ 0 ],1.00,1.00,1.00,1.00,27.36,-113.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.229735,27,-113,341,0,DRIVE [ 09 ] [ 1 ] [ 1810 1662 1127 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1801 1662 1046 ] [   35   26   91 ] [   6742  22840   4123 ] [ 0 ],1.00,1.00,1.00,1.00,24.62,-101.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.241123,27,-113,341,0,DRIVE [ 10 ] [ 1 ] [ 1819 1662 1201 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 09 ] [ 0 ] [ 1810 1662 1127 ] [   30   27  104 ] [   6742  22840   4123 ] [ 0 ],1.00,1.00,1.00,1.00,22.16,-91.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.252362,27,-113,341,0,DRIVE [ 10 ] [ 1 ] [ 1828 1662 1268 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1819 1662 1201 ] [   30   27  104 ] [   6742  22840   4123 ] [ 0 ],1.00,1.00,1.00,1.00,19.94,-82.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.263399,27,-113,341,0,DRIVE [ 11 ] [ 1 ] [ 1835 1662 1330 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 10 ] [ 0 ] [ 1828 1662 1268 ] [   30   27  104 ] [   6742  22840   4123 ] [ 0 ],1.00,1.00,1.00,1.00,17.95,-74.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.275123,27,-113,341,0,DRIVE [ 11 ] [ 1 ] [ 1842 1662 1386 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1835 1662 1330 ] [   30   27  104 ] [   6171  22842   4454 ] [ 0 ],1.00,1.00,1.00,1.00,16.15,-66.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.286812,27,-113,341,0,DRIVE [ 12 ] [ 1 ] [ 1848 1662 1436 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 11 ] [ 0 ] [ 1842 1662 1386 ] [   30   27  104 ] [   6171  22842   4454 ] [ 0 ],1.00,1.00,1.00,1.00,14.54,-60.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.29889,30,-95,345,0,DRIVE [ 12 ] [ 1 ] [ 1790 1662 1192 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 12 ] [ 0 ] [ 1848 1662 1436 ] [   27   28   53 ] [   6171  22842   4454 ] [ 0 ],1.00,1.00,1.00,1.00,29.99,-95.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.311459,32,-83,345,0,DRIVE [ 13 ] [ 1 ] [ 1780 1662 1292 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 12 ] [ 0 ] [ 1790 1662 1192 ] [   27   28   53 ] [   6171  22842   4454 ] [ 0 ],1.00,1.00,1.00,1.00,32.07,-82.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.323668,34,-73,344,0,DRIVE [ 13 ] [ 1 ] [ 1772 1662 1364 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 13 ] [ 0 ] [ 1780 1662 1292 ] [   27   28   53 ] [   6170  22862   4222 ] [ 0 ],1.00,1.00,1.00,1.00,33.69,-73.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
0.335622,35,-67,345,0,DRIVE [ 14 ] [ 1 ] [ 1764 1662 1415 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 13 ] [ 0 ] [ 1772 1662 1364 ] [   27   28   53 ] [   6170  22862   4222 ] [ 0 ],1.00,1.00,1.00,1.00,35.32,-66.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0
