timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
9.38338,-255,-26,632,1,DRIVE [ 39 ] [ 1 ] [ 1353 1712 1920 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 39 ] [ 1 ] [ 1359 1762 1920 ] [   70   24   21 ] [  21511  15160   7187 ] [ 1 ],0.80,0.80,1.50,0.80,2.75,5.85,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00150505,-255,-26,632,0,DRIVE [ 15 ] [ 1 ] [ 1926 1926 1926 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 15 ] [ 1 ] [ 1926 1443 1646 ] [    0   72   51 ] [  15561   6766  13161 ] [ 1 ],0.80,0.80,1.50,0.80,-148.47,-28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0202771,-252,-70,690,0,DRIVE [ 16 ] [ 1 ] [ 1926 1917 1917 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 15 ] [ 1 ] [ 1926 1926 1926 ] [    0   72   51 ] [  15561   6766  13161 ] [ 1 ],0.80,0.80,1.50,0.80,-201.24,-105.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0356727,-240,-69,671,0,DRIVE [ 16 ] [ 1 ] [ 1926 1909 1908 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 16 ] [ 1 ] [ 1926 1917 1917 ] [    0   72   51 ] [  14550   6910  12777 ] [ 1 ],0.80,0.80,1.50,0.80,-192.03,-103.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.05356,-241,-71,680,0,DRIVE [ 17 ] [ 1 ] [ 1926 1902 1901 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 16 ] [ 1 ] [ 1926 1909 1908 ] [   14    7   22 ] [  14550   6910  12777 ] [ 1 ],0.80,0.80,1.50,0.80,-193.08,-106.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0683824,-246,-75,689,0,DRIVE [ 17 ] [ 1 ] [ 1926 1894 1891 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 17 ] [ 1 ] [ 1926 1902 1901 ] [   14    7   22 ] [  14550   6910  12777 ] [ 1 ],0.80,0.80,1.50,0.80,-196.54,-111.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0861031,-250,-79,689,0,DRIVE [ 18 ] [ 1 ] [ 1926 1886 1882 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 17 ] [ 1 ] [ 1926 1894 1891 ] [   14    7   22 ] [  14357   6195  11792 ] [ 1 ],0.80,0.80,1.50,0.80,-200.26,-118.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.100137,-250,-79,689,0,DRIVE [ 18 ] [ 1 ] [ 1926 1890 1886 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 18 ] [ 1 ] [ 1926 1886 1882 ] [   13   25   20 ] [  14357   6195  11792 ] [ 1 ],0.80,0.80,1.50,0.80,-180.23,-106.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.114167,-250,-79,689,0,DRIVE [ 19 ] [ 1 ] [ 1926 1894 1890 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 18 ] [ 1 ] [ 1926 1890 1886 ] [   13   25   20 ] [  14357   6195  11792 ] [ 1 ],0.80,0.80,1.50,0.80,-162.21,-96.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.131621,-260,-97,695,0,DRIVE [ 19 ] [ 1 ] [ 1926 1865 1848 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 19 ] [ 1 ] [ 1926 1894 1890 ] [   13   25   20 ] [  14030   6160  11468 ] [ 1 ],0.80,0.80,1.50,0.80,-208.13,-146.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
