timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
6.11902,-342,29,555,0,DRIVE [ 62 ] [ 1 ] [ 1924 1230 1598 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 62 ] [ 1 ] [ 1924 1230 1596 ] [    9   77   32 ] [   7109  18426  16817 ] [ 0 ],0.80,0.80,0.80,0.80,-275.05,23.27,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00155063,-342,29,555,0,DRIVE [ 63 ] [ 1 ] [ 1924 1926 1926 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 63 ] [ 1 ] [ 1924 1230 1601 ] [    9   77   30 ] [   7109  18426  16817 ] [ 0 ],0.80,0.80,0.80,0.80,-245.99,21.11,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0184767,-332,31,554,0,DRIVE [ 64 ] [ 1 ] [ 1924 1911 1921 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 63 ] [ 1 ] [ 1924 1926 1926 ] [    9   77   30 ] [   7109  18426  16817 ] [ 0 ],0.80,0.80,0.80,0.80,-265.97,24.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0330274,-332,31,556,0,DRIVE [ 64 ] [ 1 ] [ 1924 1893 1915 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 64 ] [ 1 ] [ 1924 1911 1921 ] [    9   77   30 ] [   7109  18406  16807 ] [ 0 ],0.80,0.80,0.80,0.80,-265.71,25.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.048238,-333,32,560,0,DRIVE [ 65 ] [ 1 ] [ 1924 1877 1911 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 64 ] [ 1 ] [ 1924 1893 1915 ] [    8   17    8 ] [   7109  18406  16807 ] [ 0 ],0.80,0.80,0.80,0.80,-266.64,25.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0627081,-331,32,557,0,DRIVE [ 65 ] [ 1 ] [ 1924 1861 1906 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 65 ] [ 1 ] [ 1924 1877 1911 ] [    8   17    8 ] [   7109  18406  16807 ] [ 0 ],0.80,0.80,0.80,0.80,-264.53,25.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.076942,-336,32,568,0,DRIVE [ 66 ] [ 1 ] [ 1924 1846 1901 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 65 ] [ 1 ] [ 1924 1861 1906 ] [    8   17    8 ] [   7109  18406  16807 ] [ 0 ],0.80,0.80,0.80,0.80,-268.94,25.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0903944,-339,33,564,0,DRIVE [ 66 ] [ 1 ] [ 1924 1829 1896 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 66 ] [ 1 ] [ 1924 1846 1901 ] [    8   17    8 ] [   7111  17174  16619 ] [ 0 ],0.80,0.80,0.80,0.80,-271.08,26.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.103557,-339,33,564,0,DRIVE [ 67 ] [ 1 ] [ 1924 1839 1899 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 66 ] [ 1 ] [ 1924 1829 1896 ] [    7   12   21 ] [   7111  17174  16619 ] [ 0 ],0.80,0.80,0.80,0.80,-243.97,23.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.117017,-345,27,551,0,DRIVE [ 67 ] [ 1 ] [ 1924 1797 1884 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 67 ] [ 1 ] [ 1924 1839 1899 ] [    7   12   21 ] [   7111  17174  16619 ] [ 0 ],0.80,0.80,0.80,0.80,-276.16,21.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
