timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
1.76764,-185,48,303,0,DRIVE [ 03 ] [ 1 ] [ 1944 1176 1779 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 02 ] [ 1 ] [ 1944 1177 1780 ] [    9   69   38 ] [   8079   4303  11857 ] [ 0 ],0.50,0.50,0.50,0.50,-92.75,24.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00139227,-185,48,303,0,DRIVE [ 04 ] [ 1 ] [ 1944 1926 1926 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 03 ] [ 1 ] [ 1944 1175 1778 ] [    9   70   39 ] [   8079   4306  11857 ] [ 0 ],0.50,0.50,0.50,0.50,-83.46,21.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0158294,-186,48,303,0,DRIVE [ 04 ] [ 1 ] [ 1944 1915 1924 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 1 ] [ 1944 1926 1926 ] [    9   70   39 ] [   8079   4306  11857 ] [ 0 ],0.50,0.50,0.50,0.50,-93.24,24.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0289293,-190,49,307,0,DRIVE [ 05 ] [ 1 ] [ 1944 1903 1921 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 04 ] [ 1 ] [ 1944 1915 1924 ] [    9   70   39 ] [   8079   4306  11857 ] [ 0 ],0.50,0.50,0.50,0.50,-94.84,24.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.0442555,-189,49,306,0,DRIVE [ 05 ] [ 1 ] [ 1944 1893 1919 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 1 ] [ 1944 1903 1921 ] [    9   70   39 ] [   8079   4175  11839 ] [ 0 ],0.50,0.50,0.50,0.50,-94.43,24.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.0573719,-189,49,307,0,DRIVE [ 06 ] [ 1 ] [ 1944 1881 1917 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 05 ] [ 1 ] [ 1944 1893 1919 ] [   13   12   13 ] [   8079   4175  11839 ] [ 0 ],0.50,0.50,0.50,0.50,-94.69,24.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.070177,-189,49,305,0,DRIVE [ 06 ] [ 1 ] [ 1944 1871 1915 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 1 ] [ 1944 1881 1917 ] [   13   12   13 ] [   8079   4175  11839 ] [ 0 ],0.50,0.50,0.50,0.50,-94.32,24.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.0837741,-188,49,308,0,DRIVE [ 07 ] [ 1 ] [ 1944 1861 1913 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 06 ] [ 1 ] [ 1944 1871 1915 ] [   13   12   13 ] [   8076   2748  11775 ] [ 0 ],0.50,0.50,0.50,0.50,-94.01,24.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.100922,-187,48,309,0,DRIVE [ 07 ] [ 1 ] [ 1944 1852 1911 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 1 ] [ 1944 1861 1913 ] [   13   12   13 ] [   8076   2748  11775 ] [ 0 ],0.50,0.50,0.50,0.50,-93.31,24.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.113992,-185,48,310,0,DRIVE [ 08 ] [ 1 ] [ 1944 1840 1909 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 07 ] [ 1 ] [ 1944 1852 1911 ] [    2    9   16 ] [   8076   2748  11775 ] [ 0 ],0.50,0.50,0.50,0.50,-92.47,23.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
